Round: 1,Round: 2,Election,Round: 3,Round: 4,Round: 5,Round: 6,Round: 7,pyrankvote_winner,filename
"[{'candidate_3': ' 1040'}, {'candidate_2': '821'}, {'candidate_1': '628'}]","[{'candidate_3': ' 1421'}, {'candidate_2': ' 1068'}, {'candidate_1': '0'}]",election_01-22-2021_21-03-43_3cands_0.21666666666666667noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-03-43_3cands_0.21666666666666667noise.csv
"[{'candidate_1': ' 7813'}, {'candidate_3': ' 4996'}, {'candidate_2': ' 4520'}]","[{'candidate_1': '10278'}, {'candidate_3': ' 7051'}, {'candidate_2': '0'}]",election_01-22-2021_21-03-43_3cands_0.2333333333333333noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-03-43_3cands_0.2333333333333333noise.csv
"[{'candidate_3': ' 3623'}, {'candidate_5': ' 3621'}, {'candidate_4': ' 3592'}, {'candidate_8': ' 3574'}, {'candidate_6': ' 3559'}, {'candidate_1': ' 3547'}, {'candidate_7': ' 3544'}, {'candidate_2': ' 3541'}]","[{'candidate_3': ' 4135'}, {'candidate_5': ' 4129'}, {'candidate_4': ' 4107'}, {'candidate_6': ' 4080'}, {'candidate_8': ' 4067'}, {'candidate_1': ' 4043'}, {'candidate_7': ' 4040'}, {'candidate_2': '0'}]",election_01-22-2021_21-03-43_8cands_0.11875noise.csv,"[{'candidate_3': ' 4810'}, {'candidate_5': ' 4793'}, {'candidate_4': ' 4786'}, {'candidate_1': ' 4749'}, {'candidate_8': ' 4732'}, {'candidate_6': ' 4731'}, {'candidate_7': '0'}, {'candidate_2': '0'}]","[{'candidate_5': ' 5782'}, {'candidate_3': ' 5737'}, {'candidate_1': ' 5704'}, {'candidate_4': ' 5697'}, {'candidate_8': ' 5681'}, {'candidate_6': '0'}, {'candidate_7': '0'}, {'candidate_2': '0'}]","[{'candidate_5': ' 7196'}, {'candidate_4': ' 7149'}, {'candidate_3': ' 7130'}, {'candidate_1': ' 7126'}, {'candidate_8': '0'}, {'candidate_6': '0'}, {'candidate_7': '0'}, {'candidate_2': '0'}]","[{'candidate_5': ' 9590'}, {'candidate_4': ' 9516'}, {'candidate_3': ' 9495'}, {'candidate_1': '0'}, {'candidate_8': '0'}, {'candidate_6': '0'}, {'candidate_7': '0'}, {'candidate_2': '0'}]","[{'candidate_5': '14361'}, {'candidate_4': '14240'}, {'candidate_3': '0'}, {'candidate_1': '0'}, {'candidate_8': '0'}, {'candidate_6': '0'}, {'candidate_7': '0'}, {'candidate_2': '0'}]",[<Candidate('candidate_5')>],election_01-22-2021_21-03-43_8cands_0.11875noise.csv
"[{'candidate_2': ' 8859'}, {'candidate_3': ' 6930'}, {'candidate_1': ' 4614'}]","[{'candidate_2': '11675'}, {'candidate_3': ' 8728'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-11_3cands_0.16666666666666666noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-11_3cands_0.16666666666666666noise.csv
"[{'candidate_3': ' 8737'}, {'candidate_1': ' 7381'}, {'candidate_2': ' 7158'}]","[{'candidate_3': '11809'}, {'candidate_1': '11467'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-11_3cands_0.33noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-11_3cands_0.33noise.csv
"[{'candidate_2': '10543'}, {'candidate_3': '10329'}, {'candidate_4': '10285'}, {'candidate_1': ' 8469'}]","[{'candidate_3': '13818'}, {'candidate_2': '13513'}, {'candidate_4': '12295'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-11_4cands_0.155noise.csv,"[{'candidate_3': '21598'}, {'candidate_2': '18028'}, {'candidate_4': '0'}, {'candidate_1': '0'}]",,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-11_4cands_0.155noise.csv
"[{'candidate_1': ' 7940'}, {'candidate_2': ' 6169'}, {'candidate_3': ' 4365'}]","[{'candidate_1': '10575'}, {'candidate_2': ' 7899'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-12_3cands_0.19333333333333333noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-12_3cands_0.19333333333333333noise.csv
"[{'candidate_1': ' 5332'}, {'candidate_2': ' 5104'}, {'candidate_3': ' 4311'}]","[{'candidate_2': ' 7614'}, {'candidate_1': ' 7133'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-12_3cands_0.24666666666666667noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-12_3cands_0.24666666666666667noise.csv
"[{'candidate_3': ' 7624'}, {'candidate_2': ' 6963'}, {'candidate_1': ' 6707'}]","[{'candidate_3': '11740'}, {'candidate_2': ' 9554'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-12_3cands_0.25333333333333335noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-12_3cands_0.25333333333333335noise.csv
"[{'candidate_3': ' 7578'}, {'candidate_2': ' 7517'}, {'candidate_1': ' 6978'}]","[{'candidate_2': '11691'}, {'candidate_3': '10382'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-12_3cands_0.30333333333333334noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-12_3cands_0.30333333333333334noise.csv
"[{'candidate_1': ' 7946'}, {'candidate_4': ' 7614'}, {'candidate_2': ' 6874'}, {'candidate_3': ' 4962'}]","[{'candidate_1': ' 9789'}, {'candidate_4': ' 9649'}, {'candidate_2': ' 7958'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-12_4cands_0.1725noise.csv,"[{'candidate_1': '14391'}, {'candidate_4': '13005'}, {'candidate_2': '0'}, {'candidate_3': '0'}]",,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-12_4cands_0.1725noise.csv
"[{'candidate_3': ' 1269'}, {'candidate_4': ' 1234'}, {'candidate_1': '943'}, {'candidate_2': '776'}]","[{'candidate_3': ' 1488'}, {'candidate_4': ' 1477'}, {'candidate_1': ' 1257'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-12_4cands_0.245noise.csv,"[{'candidate_4': ' 2164'}, {'candidate_3': ' 2058'}, {'candidate_1': '0'}, {'candidate_2': '0'}]",,,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-12_4cands_0.245noise.csv
"[{'candidate_4': ' 9174'}, {'candidate_1': ' 9041'}, {'candidate_3': ' 8343'}, {'candidate_5': ' 8104'}, {'candidate_2': ' 7271'}]","[{'candidate_1': '10985'}, {'candidate_4': '10925'}, {'candidate_3': '10151'}, {'candidate_5': ' 9872'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-12_5cands_0.10600000000000001noise.csv,"[{'candidate_4': '14281'}, {'candidate_1': '14035'}, {'candidate_3': '13617'}, {'candidate_5': '0'}, {'candidate_2': '0'}]","[{'candidate_4': '21202'}, {'candidate_1': '20731'}, {'candidate_3': '0'}, {'candidate_5': '0'}, {'candidate_2': '0'}]",,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-12_5cands_0.10600000000000001noise.csv
"[{'candidate_1': ' 9248'}, {'candidate_4': ' 8972'}, {'candidate_5': ' 8564'}, {'candidate_3': ' 8286'}, {'candidate_2': ' 7170'}]","[{'candidate_4': '11390'}, {'candidate_1': '10901'}, {'candidate_5': ' 9995'}, {'candidate_3': ' 9954'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-12_5cands_0.118noise.csv,"[{'candidate_4': '14749'}, {'candidate_1': '13951'}, {'candidate_5': '13540'}, {'candidate_3': '0'}, {'candidate_2': '0'}]","[{'candidate_4': '21807'}, {'candidate_1': '20433'}, {'candidate_5': '0'}, {'candidate_3': '0'}, {'candidate_2': '0'}]",,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-12_5cands_0.118noise.csv
"[{'candidate_2': '19438'}, {'candidate_1': '17880'}, {'candidate_3': ' 8286'}]","[{'candidate_2': '23752'}, {'candidate_1': '21852'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-13_3cands_0.17666666666666667noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-13_3cands_0.17666666666666667noise.csv
"[{'candidate_3': '490'}, {'candidate_2': '331'}, {'candidate_1': '261'}]","[{'candidate_3': '610'}, {'candidate_2': '472'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-13_3cands_0.3066666666666667noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-13_3cands_0.3066666666666667noise.csv
"[{'candidate_3': ' 7523'}, {'candidate_1': ' 5513'}, {'candidate_2': ' 4980'}]","[{'candidate_3': ' 9312'}, {'candidate_1': ' 8704'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-13_3cands_0.3133333333333333noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-13_3cands_0.3133333333333333noise.csv
"[{'candidate_3': ' 7933'}, {'candidate_1': ' 7430'}, {'candidate_2': ' 5394'}]","[{'candidate_3': '10687'}, {'candidate_1': '10070'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-13_3cands_0.31666666666666665noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-13_3cands_0.31666666666666665noise.csv
"[{'candidate_3': ' 4712'}, {'candidate_2': ' 4688'}, {'candidate_1': ' 3143'}]","[{'candidate_3': ' 6484'}, {'candidate_2': ' 6059'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-13_3cands_0.31noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-13_3cands_0.31noise.csv
"[{'candidate_1': ' 6273'}, {'candidate_3': ' 5446'}, {'candidate_2': ' 5390'}]","[{'candidate_1': ' 9402'}, {'candidate_3': ' 7707'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-13_3cands_0.3noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-13_3cands_0.3noise.csv
"[{'candidate_2': ' 9067'}, {'candidate_1': ' 8829'}, {'candidate_3': ' 7945'}, {'candidate_4': ' 5908'}]","[{'candidate_2': '11018'}, {'candidate_3': '10683'}, {'candidate_1': '10048'}, {'candidate_4': '0'}]",election_01-22-2021_21-07-13_4cands_0.1525noise.csv,"[{'candidate_2': '16360'}, {'candidate_3': '15389'}, {'candidate_1': '0'}, {'candidate_4': '0'}]",,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-13_4cands_0.1525noise.csv
"[{'candidate_4': '16305'}, {'candidate_3': '11972'}, {'candidate_2': '10049'}, {'candidate_1': ' 9404'}]","[{'candidate_4': '19057'}, {'candidate_3': '15452'}, {'candidate_2': '13221'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-13_4cands_0.165noise.csv,"[{'candidate_4': '26256'}, {'candidate_3': '21474'}, {'candidate_2': '0'}, {'candidate_1': '0'}]",,,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-13_4cands_0.165noise.csv
"[{'candidate_4': ' 2578'}, {'candidate_3': ' 2172'}, {'candidate_1': ' 2155'}, {'candidate_2': ' 2027'}]","[{'candidate_4': ' 3337'}, {'candidate_3': ' 2888'}, {'candidate_1': ' 2707'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-13_4cands_0.235noise.csv,"[{'candidate_4': ' 4709'}, {'candidate_3': ' 4223'}, {'candidate_1': '0'}, {'candidate_2': '0'}]",,,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-13_4cands_0.235noise.csv
"[{'candidate_1': ' 1168'}, {'candidate_3': ' 1148'}, {'candidate_2': ' 1122'}, {'candidate_4': ' 1087'}, {'candidate_5': '987'}]","[{'candidate_3': ' 1475'}, {'candidate_1': ' 1390'}, {'candidate_4': ' 1343'}, {'candidate_2': ' 1304'}, {'candidate_5': '0'}]",election_01-22-2021_21-07-13_5cands_0.128noise.csv,"[{'candidate_3': ' 1940'}, {'candidate_1': ' 1839'}, {'candidate_4': ' 1733'}, {'candidate_2': '0'}, {'candidate_5': '0'}]","[{'candidate_3': ' 2871'}, {'candidate_1': ' 2641'}, {'candidate_4': '0'}, {'candidate_2': '0'}, {'candidate_5': '0'}]",,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-13_5cands_0.128noise.csv
"[{'candidate_3': ' 4282'}, {'candidate_2': ' 2872'}, {'candidate_1': ' 2426'}]","[{'candidate_3': ' 5753'}, {'candidate_2': ' 3827'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-14_3cands_0.20666666666666667noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-14_3cands_0.20666666666666667noise.csv
"[{'candidate_2': '12350'}, {'candidate_1': '11590'}, {'candidate_3': ' 8287'}]","[{'candidate_2': '17289'}, {'candidate_1': '14938'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-14_3cands_0.2333333333333333noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-14_3cands_0.2333333333333333noise.csv
"[{'candidate_2': '16834'}, {'candidate_3': '11272'}, {'candidate_1': '10220'}]","[{'candidate_2': '22437'}, {'candidate_3': '15889'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-14_3cands_0.27noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-14_3cands_0.27noise.csv
"[{'candidate_1': ' 2535'}, {'candidate_3': ' 1948'}, {'candidate_2': '982'}]","[{'candidate_1': ' 2797'}, {'candidate_3': ' 2668'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-14_3cands_0.29noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-14_3cands_0.29noise.csv
"[{'candidate_3': ' 9149'}, {'candidate_2': ' 7618'}, {'candidate_1': ' 7141'}, {'candidate_4': ' 4841'}]","[{'candidate_3': '10080'}, {'candidate_1': ' 9651'}, {'candidate_2': ' 9018'}, {'candidate_4': '0'}]",election_01-22-2021_21-07-14_4cands_0.175noise.csv,"[{'candidate_3': '14953'}, {'candidate_1': '13796'}, {'candidate_2': '0'}, {'candidate_4': '0'}]",,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-14_4cands_0.175noise.csv
"[{'candidate_2': '13132'}, {'candidate_4': '12418'}, {'candidate_3': '11322'}, {'candidate_1': '10108'}]","[{'candidate_2': '17240'}, {'candidate_4': '15828'}, {'candidate_3': '13912'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-14_4cands_0.1825noise.csv,"[{'candidate_2': '24077'}, {'candidate_4': '22903'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-14_4cands_0.1825noise.csv
"[{'candidate_4': '10732'}, {'candidate_1': ' 8073'}, {'candidate_2': ' 7601'}, {'candidate_3': ' 7473'}]","[{'candidate_4': '12872'}, {'candidate_2': '10629'}, {'candidate_1': '10378'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-14_4cands_0.245noise.csv,"[{'candidate_4': '17684'}, {'candidate_2': '16195'}, {'candidate_1': '0'}, {'candidate_3': '0'}]",,,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-14_4cands_0.245noise.csv
"[{'candidate_4': ' 5226'}, {'candidate_3': ' 5124'}, {'candidate_5': ' 4622'}, {'candidate_1': ' 4230'}, {'candidate_2': ' 3357'}]","[{'candidate_4': ' 6285'}, {'candidate_3': ' 5690'}, {'candidate_5': ' 5553'}, {'candidate_1': ' 5031'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-14_5cands_0.136noise.csv,"[{'candidate_4': ' 7880'}, {'candidate_5': ' 7525'}, {'candidate_3': ' 7154'}, {'candidate_1': '0'}, {'candidate_2': '0'}]","[{'candidate_4': '11649'}, {'candidate_5': '10910'}, {'candidate_3': '0'}, {'candidate_1': '0'}, {'candidate_2': '0'}]",,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-14_5cands_0.136noise.csv
"[{'candidate_3': ' 6260'}, {'candidate_2': ' 6135'}, {'candidate_1': ' 5229'}, {'candidate_5': ' 5214'}, {'candidate_4': ' 5198'}]","[{'candidate_2': ' 7504'}, {'candidate_3': ' 7349'}, {'candidate_1': ' 6632'}, {'candidate_5': ' 6551'}, {'candidate_4': '0'}]",election_01-22-2021_21-07-14_5cands_0.16399999999999998noise.csv,"[{'candidate_2': ' 9756'}, {'candidate_3': ' 9617'}, {'candidate_1': ' 8663'}, {'candidate_5': '0'}, {'candidate_4': '0'}]","[{'candidate_3': '14109'}, {'candidate_2': '13927'}, {'candidate_1': '0'}, {'candidate_5': '0'}, {'candidate_4': '0'}]",,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-14_5cands_0.16399999999999998noise.csv
"[{'candidate_1': '18449'}, {'candidate_2': '12448'}, {'candidate_3': '11087'}]","[{'candidate_1': '24545'}, {'candidate_2': '17439'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-15_3cands_0.17666666666666667noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-15_3cands_0.17666666666666667noise.csv
"[{'candidate_2': ' 7774'}, {'candidate_1': ' 7615'}, {'candidate_3': ' 5295'}]","[{'candidate_2': '11112'}, {'candidate_1': ' 9572'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-15_3cands_0.2866666666666667noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-15_3cands_0.2866666666666667noise.csv
"[{'candidate_4': ' 8482'}, {'candidate_1': ' 8080'}, {'candidate_2': ' 7709'}, {'candidate_3': ' 7009'}]","[{'candidate_4': '11258'}, {'candidate_1': '10333'}, {'candidate_2': ' 9689'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-15_4cands_0.1625noise.csv,"[{'candidate_1': '16252'}, {'candidate_4': '15028'}, {'candidate_2': '0'}, {'candidate_3': '0'}]",,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-15_4cands_0.1625noise.csv
"[{'candidate_1': '13809'}, {'candidate_2': '13389'}, {'candidate_4': '10224'}, {'candidate_3': ' 8561'}]","[{'candidate_1': '16071'}, {'candidate_2': '15962'}, {'candidate_4': '13950'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-15_4cands_0.165noise.csv,"[{'candidate_1': '24860'}, {'candidate_2': '21123'}, {'candidate_4': '0'}, {'candidate_3': '0'}]",,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-15_4cands_0.165noise.csv
"[{'candidate_4': ' 2450'}, {'candidate_1': ' 2339'}, {'candidate_2': ' 2265'}, {'candidate_3': ' 1483'}]","[{'candidate_4': ' 3124'}, {'candidate_1': ' 2748'}, {'candidate_2': ' 2665'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-15_4cands_0.21noise.csv,"[{'candidate_4': ' 4579'}, {'candidate_1': ' 3958'}, {'candidate_2': '0'}, {'candidate_3': '0'}]",,,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-15_4cands_0.21noise.csv
"[{'candidate_5': '10009'}, {'candidate_1': ' 8899'}, {'candidate_4': ' 8633'}, {'candidate_2': ' 8320'}, {'candidate_3': ' 7877'}]","[{'candidate_5': '12157'}, {'candidate_1': '10783'}, {'candidate_4': '10439'}, {'candidate_2': '10359'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-15_5cands_0.194noise.csv,"[{'candidate_5': '15484'}, {'candidate_4': '14160'}, {'candidate_1': '14094'}, {'candidate_2': '0'}, {'candidate_3': '0'}]","[{'candidate_4': '22086'}, {'candidate_5': '21652'}, {'candidate_1': '0'}, {'candidate_2': '0'}, {'candidate_3': '0'}]",,,,[<Candidate('candidate_4')>],election_01-22-2021_21-07-15_5cands_0.194noise.csv
"[{'candidate_1': ' 5919'}, {'candidate_3': ' 5592'}, {'candidate_2': ' 3535'}]","[{'candidate_3': ' 7865'}, {'candidate_1': ' 7181'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-16_3cands_0.16666666666666666noise.csv,,,,,,[<Candidate('candidate_3')>],election_01-22-2021_21-07-16_3cands_0.16666666666666666noise.csv
"[{'candidate_1': '15511'}, {'candidate_2': '15167'}, {'candidate_3': '13600'}]","[{'candidate_1': '22464'}, {'candidate_2': '21814'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-16_3cands_0.17333333333333334noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-16_3cands_0.17333333333333334noise.csv
"[{'candidate_2': ' 3142'}, {'candidate_1': ' 2066'}, {'candidate_3': ' 1732'}]","[{'candidate_2': ' 3960'}, {'candidate_1': ' 2980'}, {'candidate_3': '0'}]",election_01-22-2021_21-07-16_3cands_0.18333333333333335noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-16_3cands_0.18333333333333335noise.csv
"[{'candidate_1': ' 6988'}, {'candidate_3': ' 5592'}, {'candidate_2': ' 4218'}]","[{'candidate_1': ' 9757'}, {'candidate_3': ' 7041'}, {'candidate_2': '0'}]",election_01-22-2021_21-07-16_3cands_0.21noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-07-16_3cands_0.21noise.csv
"[{'candidate_2': ' 9017'}, {'candidate_3': ' 8597'}, {'candidate_1': ' 5966'}]","[{'candidate_2': '12468'}, {'candidate_3': '11112'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-16_3cands_0.2966666666666667noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-16_3cands_0.2966666666666667noise.csv
"[{'candidate_2': '818'}, {'candidate_3': '682'}, {'candidate_1': '459'}]","[{'candidate_2': ' 1054'}, {'candidate_3': '905'}, {'candidate_1': '0'}]",election_01-22-2021_21-07-16_3cands_0.29noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-07-16_3cands_0.29noise.csv
"[{'candidate_2': '20368'}, {'candidate_3': '17850'}, {'candidate_1': '11444'}]","[{'candidate_2': '24910'}, {'candidate_3': '24752'}, {'candidate_1': '0'}]",election_01-22-2021_21-11-01_3cands_0.18000000000000002noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-11-01_3cands_0.18000000000000002noise.csv
"[{'candidate_2': '19597'}, {'candidate_3': '13031'}, {'candidate_1': '12820'}]","[{'candidate_2': '28635'}, {'candidate_3': '16813'}, {'candidate_1': '0'}]",election_01-22-2021_21-11-01_3cands_0.18999999999999997noise.csv,,,,,,[<Candidate('candidate_2')>],election_01-22-2021_21-11-01_3cands_0.18999999999999997noise.csv
"[{'candidate_1': '12950'}, {'candidate_2': ' 7936'}, {'candidate_3': ' 4354'}]",,election_01-22-2021_21-11-01_3cands_0.23666666666666666noise.csv,,,,,,[<Candidate('candidate_1')>],election_01-22-2021_21-11-01_3cands_0.23666666666666666noise.csv
