ballot_id,rank,choice
20196,1,Kate I. Noble
20196,2,Peter N. Ives
20196,3,Alan Webber
20196,4,Joseph M. Maestas
20196,5,Ronald S. Trujillo
20196,6,$UNDERVOTE
375547,1,Alan Webber
375547,2,Kate I. Noble
375547,3,Joseph M. Maestas
375547,4,Peter N. Ives
375547,5,$UNDERVOTE
375547,6,$UNDERVOTE
765084,1,Alan Webber
765084,2,Peter N. Ives
765084,3,Kate I. Noble
765084,4,Joseph M. Maestas
765084,5,Ronald S. Trujillo
765084,6,$UNDERVOTE
235168,1,Alan Webber
235168,2,Kate I. Noble
235168,3,$UNDERVOTE
235168,4,$UNDERVOTE
235168,5,$UNDERVOTE
235168,6,$UNDERVOTE
10955,1,Alan Webber
10955,2,Joseph M. Maestas
10955,3,Peter N. Ives
10955,4,Ronald S. Trujillo
10955,5,Kate I. Noble
10955,6,$UNDERVOTE
111160,1,Ronald S. Trujillo
111160,2,Peter N. Ives
111160,3,Kate I. Noble
111160,4,Joseph M. Maestas
111160,5,Alan Webber
111160,6,$UNDERVOTE
472842,1,Alan Webber
472842,2,Peter N. Ives
472842,3,Joseph M. Maestas
472842,4,Ronald S. Trujillo
472842,5,Kate I. Noble
472842,6,$UNDERVOTE
746021,1,Kate I. Noble
746021,2,Alan Webber
746021,3,Joseph M. Maestas
746021,4,Peter N. Ives
746021,5,Ronald S. Trujillo
746021,6,$UNDERVOTE
757913,1,Alan Webber
757913,2,Ronald S. Trujillo
757913,3,Kate I. Noble
757913,4,Joseph M. Maestas
757913,5,Peter N. Ives
757913,6,$UNDERVOTE
506165,1,Kate I. Noble
506165,2,Joseph M. Maestas
506165,3,Alan Webber
506165,4,Ronald S. Trujillo
506165,5,Peter N. Ives
506165,6,$UNDERVOTE
910624,1,Alan Webber
910624,2,Peter N. Ives
910624,3,Joseph M. Maestas
910624,4,$UNDERVOTE
910624,5,$UNDERVOTE
910624,6,$UNDERVOTE
683445,1,Alan Webber
683445,2,Joseph M. Maestas
683445,3,Ronald S. Trujillo
683445,4,$UNDERVOTE
683445,5,$UNDERVOTE
683445,6,$UNDERVOTE
623059,1,Ronald S. Trujillo
623059,2,Peter N. Ives
623059,3,$UNDERVOTE
623059,4,$UNDERVOTE
623059,5,$UNDERVOTE
623059,6,$UNDERVOTE
243393,1,Joseph M. Maestas
243393,2,Ronald S. Trujillo
243393,3,Peter N. Ives
243393,4,Alan Webber
243393,5,Kate I. Noble
243393,6,$UNDERVOTE
694517,1,Alan Webber
694517,2,$UNDERVOTE
694517,3,$UNDERVOTE
694517,4,$UNDERVOTE
694517,5,$UNDERVOTE
694517,6,$UNDERVOTE
530023,1,Ronald S. Trujillo
530023,2,$UNDERVOTE
530023,3,$UNDERVOTE
530023,4,$UNDERVOTE
530023,5,$UNDERVOTE
530023,6,$UNDERVOTE
419521,1,Joseph M. Maestas
419521,2,Kate I. Noble
419521,3,Alan Webber
419521,4,Ronald S. Trujillo
419521,5,Peter N. Ives
419521,6,$UNDERVOTE
212121,1,Kate I. Noble
212121,2,Alan Webber
212121,3,Ronald S. Trujillo
212121,4,$UNDERVOTE
212121,5,$UNDERVOTE
212121,6,$UNDERVOTE
839740,1,Kate I. Noble
839740,2,Alan Webber
839740,3,Peter N. Ives
839740,4,Joseph M. Maestas
839740,5,Ronald S. Trujillo
839740,6,$UNDERVOTE
661291,1,Alan Webber
661291,2,Kate I. Noble
661291,3,Joseph M. Maestas
661291,4,Peter N. Ives
661291,5,$UNDERVOTE
661291,6,$UNDERVOTE
434842,1,Ronald S. Trujillo
434842,2,$UNDERVOTE
434842,3,$UNDERVOTE
434842,4,$UNDERVOTE
434842,5,$UNDERVOTE
434842,6,$UNDERVOTE
39125,1,Kate I. Noble
39125,2,Alan Webber
39125,3,Peter N. Ives
39125,4,Joseph M. Maestas
39125,5,$UNDERVOTE
39125,6,$UNDERVOTE
63599,1,Alan Webber
63599,2,Peter N. Ives
63599,3,Joseph M. Maestas
63599,4,Ronald S. Trujillo
63599,5,$UNDERVOTE
63599,6,$UNDERVOTE
342423,1,Kate I. Noble
342423,2,$UNDERVOTE
342423,3,$UNDERVOTE
342423,4,$UNDERVOTE
342423,5,$UNDERVOTE
342423,6,$UNDERVOTE
825810,1,Alan Webber
825810,2,Peter N. Ives
825810,3,Joseph M. Maestas
825810,4,Kate I. Noble
825810,5,Ronald S. Trujillo
825810,6,$UNDERVOTE
529675,1,Alan Webber
529675,2,Kate I. Noble
529675,3,Joseph M. Maestas
529675,4,$UNDERVOTE
529675,5,$UNDERVOTE
529675,6,$UNDERVOTE
59814,1,Alan Webber
59814,2,Kate I. Noble
59814,3,Joseph M. Maestas
59814,4,$UNDERVOTE
59814,5,$UNDERVOTE
59814,6,$UNDERVOTE
669735,1,Alan Webber
669735,2,Joseph M. Maestas
669735,3,Peter N. Ives
669735,4,Kate I. Noble
669735,5,Ronald S. Trujillo
669735,6,$UNDERVOTE
280893,1,Kate I. Noble
280893,2,Alan Webber
280893,3,Joseph M. Maestas
280893,4,Peter N. Ives
280893,5,Ronald S. Trujillo
280893,6,$UNDERVOTE
40589,1,Ronald S. Trujillo
40589,2,Joseph M. Maestas
40589,3,Alan Webber
40589,4,Peter N. Ives
40589,5,Kate I. Noble
40589,6,$UNDERVOTE
923238,1,Alan Webber
923238,2,Kate I. Noble
923238,3,Joseph M. Maestas
923238,4,Peter N. Ives
923238,5,Ronald S. Trujillo
923238,6,$UNDERVOTE
271641,1,Kate I. Noble
271641,2,Alan Webber
271641,3,Peter N. Ives
271641,4,$UNDERVOTE
271641,5,$UNDERVOTE
271641,6,$UNDERVOTE
969269,1,Alan Webber
969269,2,Kate I. Noble
969269,3,Ronald S. Trujillo
969269,4,Joseph M. Maestas
969269,5,Peter N. Ives
969269,6,$UNDERVOTE
443840,1,Peter N. Ives
443840,2,Kate I. Noble
443840,3,$UNDERVOTE
443840,4,$UNDERVOTE
443840,5,$UNDERVOTE
443840,6,$UNDERVOTE
599554,1,Kate I. Noble
599554,2,Alan Webber
599554,3,Joseph M. Maestas
599554,4,Peter N. Ives
599554,5,Ronald S. Trujillo
599554,6,$UNDERVOTE
654522,1,Ronald S. Trujillo
654522,2,Alan Webber
654522,3,$UNDERVOTE
654522,4,$UNDERVOTE
654522,5,$UNDERVOTE
654522,6,$UNDERVOTE
394241,1,Alan Webber
394241,2,Kate I. Noble
394241,3,Joseph M. Maestas
394241,4,Peter N. Ives
394241,5,Ronald S. Trujillo
394241,6,$UNDERVOTE
185749,1,Alan Webber
185749,2,Joseph M. Maestas
185749,3,Peter N. Ives
185749,4,Kate I. Noble
185749,5,Ronald S. Trujillo
185749,6,$UNDERVOTE
839486,1,Ronald S. Trujillo
839486,2,Joseph M. Maestas
839486,3,Peter N. Ives
839486,4,Kate I. Noble
839486,5,Alan Webber
839486,6,$UNDERVOTE
304168,1,Kate I. Noble
304168,2,Joseph M. Maestas
304168,3,Alan Webber
304168,4,Peter N. Ives
304168,5,$UNDERVOTE
304168,6,$UNDERVOTE
536533,1,Kate I. Noble
536533,2,Alan Webber
536533,3,Peter N. Ives
536533,4,$UNDERVOTE
536533,5,$UNDERVOTE
536533,6,$UNDERVOTE
122758,1,Ronald S. Trujillo
122758,2,Alan Webber
122758,3,Kate I. Noble
122758,4,Peter N. Ives
122758,5,Joseph M. Maestas
122758,6,$UNDERVOTE
632989,1,Joseph M. Maestas
632989,2,Alan Webber
632989,3,$UNDERVOTE
632989,4,$UNDERVOTE
632989,5,$UNDERVOTE
632989,6,$UNDERVOTE
639927,1,Joseph M. Maestas
639927,2,$UNDERVOTE
639927,3,$UNDERVOTE
639927,4,$UNDERVOTE
639927,5,$UNDERVOTE
639927,6,$UNDERVOTE
806833,1,Alan Webber
806833,2,Peter N. Ives
806833,3,Joseph M. Maestas
806833,4,Kate I. Noble
806833,5,Ronald S. Trujillo
806833,6,$UNDERVOTE
273612,1,Alan Webber
273612,2,Kate I. Noble
273612,3,Joseph M. Maestas
273612,4,Peter N. Ives
273612,5,$UNDERVOTE
273612,6,$UNDERVOTE
898526,1,Joseph M. Maestas
898526,2,Alan Webber
898526,3,Peter N. Ives
898526,4,Ronald S. Trujillo
898526,5,Kate I. Noble
898526,6,$UNDERVOTE
367790,1,Alan Webber
367790,2,Joseph M. Maestas
367790,3,Kate I. Noble
367790,4,$UNDERVOTE
367790,5,$UNDERVOTE
367790,6,$UNDERVOTE
926777,1,Ronald S. Trujillo
926777,2,Peter N. Ives
926777,3,Joseph M. Maestas
926777,4,$UNDERVOTE
926777,5,$UNDERVOTE
926777,6,$UNDERVOTE
522361,1,Alan Webber
522361,2,$UNDERVOTE
522361,3,$UNDERVOTE
522361,4,$UNDERVOTE
522361,5,$UNDERVOTE
522361,6,$UNDERVOTE
47451,1,Alan Webber
47451,2,Joseph M. Maestas
47451,3,Peter N. Ives
47451,4,Ronald S. Trujillo
47451,5,Kate I. Noble
47451,6,$UNDERVOTE
596625,1,Alan Webber
596625,2,Peter N. Ives
596625,3,Kate I. Noble
596625,4,Joseph M. Maestas
596625,5,Ronald S. Trujillo
596625,6,$UNDERVOTE
221449,1,Alan Webber
221449,2,Peter N. Ives
221449,3,Joseph M. Maestas
221449,4,Ronald S. Trujillo
221449,5,Kate I. Noble
221449,6,$UNDERVOTE
146888,1,Alan Webber
146888,2,Kate I. Noble
146888,3,Peter N. Ives
146888,4,$UNDERVOTE
146888,5,$UNDERVOTE
146888,6,$UNDERVOTE
251231,1,Alan Webber
251231,2,Joseph M. Maestas
251231,3,Kate I. Noble
251231,4,Peter N. Ives
251231,5,Ronald S. Trujillo
251231,6,$UNDERVOTE
401170,1,Alan Webber
401170,2,Kate I. Noble
401170,3,$UNDERVOTE
401170,4,$UNDERVOTE
401170,5,$UNDERVOTE
401170,6,$UNDERVOTE
990248,1,Kate I. Noble
990248,2,Alan Webber
990248,3,Peter N. Ives
990248,4,Joseph M. Maestas
990248,5,Ronald S. Trujillo
990248,6,$UNDERVOTE
317559,1,Alan Webber
317559,2,Kate I. Noble
317559,3,$UNDERVOTE
317559,4,$UNDERVOTE
317559,5,$UNDERVOTE
317559,6,$UNDERVOTE
26257,1,Alan Webber
26257,2,Joseph M. Maestas
26257,3,Peter N. Ives
26257,4,Kate I. Noble
26257,5,Ronald S. Trujillo
26257,6,$UNDERVOTE
943879,1,Kate I. Noble
943879,2,Alan Webber
943879,3,$UNDERVOTE
943879,4,$UNDERVOTE
943879,5,$UNDERVOTE
943879,6,$UNDERVOTE
219445,1,Kate I. Noble
219445,2,Alan Webber
219445,3,Joseph M. Maestas
219445,4,Peter N. Ives
219445,5,Ronald S. Trujillo
219445,6,$UNDERVOTE
836106,1,Alan Webber
836106,2,Joseph M. Maestas
836106,3,Ronald S. Trujillo
836106,4,Kate I. Noble
836106,5,Peter N. Ives
836106,6,$UNDERVOTE
203627,1,Joseph M. Maestas
203627,2,Kate I. Noble
203627,3,Peter N. Ives
203627,4,$UNDERVOTE
203627,5,$UNDERVOTE
203627,6,$UNDERVOTE
792023,1,Alan Webber
792023,2,Kate I. Noble
792023,3,Peter N. Ives
792023,4,Joseph M. Maestas
792023,5,Ronald S. Trujillo
792023,6,$UNDERVOTE
332026,1,Kate I. Noble
332026,2,Alan Webber
332026,3,Joseph M. Maestas
332026,4,Ronald S. Trujillo
332026,5,Peter N. Ives
332026,6,$UNDERVOTE
179183,1,Alan Webber
179183,2,Joseph M. Maestas
179183,3,Peter N. Ives
179183,4,Ronald S. Trujillo
179183,5,Kate I. Noble
179183,6,$UNDERVOTE
355576,1,Peter N. Ives
355576,2,Kate I. Noble
355576,3,Alan Webber
355576,4,Ronald S. Trujillo
355576,5,Joseph M. Maestas
355576,6,$UNDERVOTE
868118,1,Alan Webber
868118,2,Kate I. Noble
868118,3,Joseph M. Maestas
868118,4,Peter N. Ives
868118,5,$UNDERVOTE
868118,6,$UNDERVOTE
297637,1,Alan Webber
297637,2,Peter N. Ives
297637,3,$UNDERVOTE
297637,4,$UNDERVOTE
297637,5,$UNDERVOTE
297637,6,$UNDERVOTE
201395,1,Alan Webber
201395,2,Joseph M. Maestas
201395,3,Peter N. Ives
201395,4,Kate I. Noble
201395,5,Ronald S. Trujillo
201395,6,$UNDERVOTE
958681,1,Alan Webber
958681,2,Joseph M. Maestas
958681,3,Kate I. Noble
958681,4,Ronald S. Trujillo
958681,5,Peter N. Ives
958681,6,$UNDERVOTE
678572,1,Peter N. Ives
678572,2,$UNDERVOTE
678572,3,$UNDERVOTE
678572,4,$UNDERVOTE
678572,5,$UNDERVOTE
678572,6,$UNDERVOTE
489634,1,Alan Webber
489634,2,Kate I. Noble
489634,3,Peter N. Ives
489634,4,Joseph M. Maestas
489634,5,Ronald S. Trujillo
489634,6,$UNDERVOTE
994372,1,Alan Webber
994372,2,Kate I. Noble
994372,3,Peter N. Ives
994372,4,Joseph M. Maestas
994372,5,Ronald S. Trujillo
994372,6,$UNDERVOTE
207956,1,Alan Webber
207956,2,Kate I. Noble
207956,3,Joseph M. Maestas
207956,4,Peter N. Ives
207956,5,$UNDERVOTE
207956,6,$UNDERVOTE
991584,1,Alan Webber
991584,2,Kate I. Noble
991584,3,Joseph M. Maestas
991584,4,Peter N. Ives
991584,5,Ronald S. Trujillo
991584,6,$UNDERVOTE
103735,1,Alan Webber
103735,2,Kate I. Noble
103735,3,Joseph M. Maestas
103735,4,Peter N. Ives
103735,5,Ronald S. Trujillo
103735,6,$UNDERVOTE
34371,1,Alan Webber
34371,2,Kate I. Noble
34371,3,Joseph M. Maestas
34371,4,Peter N. Ives
34371,5,Ronald S. Trujillo
34371,6,$UNDERVOTE
315690,1,Alan Webber
315690,2,Kate I. Noble
315690,3,Joseph M. Maestas
315690,4,Peter N. Ives
315690,5,Ronald S. Trujillo
315690,6,$UNDERVOTE
58797,1,Ronald S. Trujillo
58797,2,Alan Webber
58797,3,Kate I. Noble
58797,4,Joseph M. Maestas
58797,5,Peter N. Ives
58797,6,$UNDERVOTE
923947,1,Kate I. Noble
923947,2,Alan Webber
923947,3,Joseph M. Maestas
923947,4,Ronald S. Trujillo
923947,5,Peter N. Ives
923947,6,$UNDERVOTE
612522,1,Alan Webber
612522,2,Joseph M. Maestas
612522,3,Kate I. Noble
612522,4,Peter N. Ives
612522,5,Ronald S. Trujillo
612522,6,$UNDERVOTE
955758,1,Ronald S. Trujillo
955758,2,Alan Webber
955758,3,Peter N. Ives
955758,4,Kate I. Noble
955758,5,Joseph M. Maestas
955758,6,$UNDERVOTE
214631,1,Kate I. Noble
214631,2,Alan Webber
214631,3,Joseph M. Maestas
214631,4,Peter N. Ives
214631,5,Ronald S. Trujillo
214631,6,$UNDERVOTE
401636,1,Alan Webber
401636,2,Kate I. Noble
401636,3,Peter N. Ives
401636,4,Joseph M. Maestas
401636,5,Ronald S. Trujillo
401636,6,$UNDERVOTE
537411,1,Peter N. Ives
537411,2,Ronald S. Trujillo
537411,3,Joseph M. Maestas
537411,4,Alan Webber
537411,5,Kate I. Noble
537411,6,$UNDERVOTE
867692,1,Ronald S. Trujillo
867692,2,Joseph M. Maestas
867692,3,$UNDERVOTE
867692,4,$UNDERVOTE
867692,5,$UNDERVOTE
867692,6,$UNDERVOTE
895280,1,Alan Webber
895280,2,$UNDERVOTE
895280,3,$UNDERVOTE
895280,4,$UNDERVOTE
895280,5,$UNDERVOTE
895280,6,$UNDERVOTE
841908,1,Alan Webber
841908,2,Kate I. Noble
841908,3,Joseph M. Maestas
841908,4,Peter N. Ives
841908,5,Ronald S. Trujillo
841908,6,$UNDERVOTE
896083,1,Alan Webber
896083,2,$UNDERVOTE
896083,3,$UNDERVOTE
896083,4,$UNDERVOTE
896083,5,$UNDERVOTE
896083,6,$UNDERVOTE
703974,1,Kate I. Noble
703974,2,Alan Webber
703974,3,Peter N. Ives
703974,4,Joseph M. Maestas
703974,5,Ronald S. Trujillo
703974,6,$UNDERVOTE
481981,1,Alan Webber
481981,2,Joseph M. Maestas
481981,3,Peter N. Ives
481981,4,Kate I. Noble
481981,5,Ronald S. Trujillo
481981,6,$UNDERVOTE
570791,1,Alan Webber
570791,2,Ronald S. Trujillo
570791,3,Peter N. Ives
570791,4,Joseph M. Maestas
570791,5,Kate I. Noble
570791,6,$UNDERVOTE
611305,1,Ronald S. Trujillo
611305,2,Joseph M. Maestas
611305,3,Alan Webber
611305,4,Peter N. Ives
611305,5,Kate I. Noble
611305,6,$UNDERVOTE
524821,1,Kate I. Noble
524821,2,Alan Webber
524821,3,Joseph M. Maestas
524821,4,$UNDERVOTE
524821,5,$UNDERVOTE
524821,6,$UNDERVOTE
894026,1,Joseph M. Maestas
894026,2,Alan Webber
894026,3,Kate I. Noble
894026,4,Peter N. Ives
894026,5,Ronald S. Trujillo
894026,6,$UNDERVOTE
966829,1,Alan Webber
966829,2,Kate I. Noble
966829,3,$UNDERVOTE
966829,4,$UNDERVOTE
966829,5,$UNDERVOTE
966829,6,$UNDERVOTE
320864,1,Joseph M. Maestas
320864,2,Kate I. Noble
320864,3,Alan Webber
320864,4,Peter N. Ives
320864,5,Ronald S. Trujillo
320864,6,$UNDERVOTE
262600,1,Alan Webber
262600,2,Kate I. Noble
262600,3,Peter N. Ives
262600,4,Ronald S. Trujillo
262600,5,Joseph M. Maestas
262600,6,$UNDERVOTE
965150,1,Kate I. Noble
965150,2,$UNDERVOTE
965150,3,$UNDERVOTE
965150,4,$UNDERVOTE
965150,5,$UNDERVOTE
965150,6,$UNDERVOTE
867135,1,Ronald S. Trujillo
867135,2,Alan Webber
867135,3,Joseph M. Maestas
867135,4,Peter N. Ives
867135,5,Kate I. Noble
867135,6,$UNDERVOTE
752307,1,Alan Webber
752307,2,Joseph M. Maestas
752307,3,Kate I. Noble
752307,4,Peter N. Ives
752307,5,$UNDERVOTE
752307,6,$UNDERVOTE
364552,1,Alan Webber
364552,2,Joseph M. Maestas
364552,3,Kate I. Noble
364552,4,Peter N. Ives
364552,5,Ronald S. Trujillo
364552,6,$UNDERVOTE
121681,1,Peter N. Ives
121681,2,$UNDERVOTE
121681,3,$UNDERVOTE
121681,4,$UNDERVOTE
121681,5,$UNDERVOTE
121681,6,$UNDERVOTE
581679,1,Alan Webber
581679,2,$UNDERVOTE
581679,3,$UNDERVOTE
581679,4,$UNDERVOTE
581679,5,$UNDERVOTE
581679,6,$UNDERVOTE
128978,1,Alan Webber
128978,2,Kate I. Noble
128978,3,$UNDERVOTE
128978,4,$UNDERVOTE
128978,5,$UNDERVOTE
128978,6,$UNDERVOTE
555090,1,Alan Webber
555090,2,Joseph M. Maestas
555090,3,Ronald S. Trujillo
555090,4,$UNDERVOTE
555090,5,$UNDERVOTE
555090,6,$UNDERVOTE
245876,1,Alan Webber
245876,2,Kate I. Noble
245876,3,$UNDERVOTE
245876,4,$UNDERVOTE
245876,5,$UNDERVOTE
245876,6,$UNDERVOTE
930530,1,Kate I. Noble
930530,2,Joseph M. Maestas
930530,3,Alan Webber
930530,4,$UNDERVOTE
930530,5,$UNDERVOTE
930530,6,$UNDERVOTE
158846,1,Alan Webber
158846,2,Kate I. Noble
158846,3,Peter N. Ives
158846,4,$UNDERVOTE
158846,5,$UNDERVOTE
158846,6,$UNDERVOTE
890833,1,Alan Webber
890833,2,Kate I. Noble
890833,3,Peter N. Ives
890833,4,Joseph M. Maestas
890833,5,Ronald S. Trujillo
890833,6,$UNDERVOTE
314876,1,Kate I. Noble
314876,2,Alan Webber
314876,3,Peter N. Ives
314876,4,$UNDERVOTE
314876,5,$UNDERVOTE
314876,6,$UNDERVOTE
699869,1,Ronald S. Trujillo
699869,2,Peter N. Ives
699869,3,Kate I. Noble
699869,4,Alan Webber
699869,5,Joseph M. Maestas
699869,6,$UNDERVOTE
627859,1,Kate I. Noble
627859,2,Joseph M. Maestas
627859,3,Alan Webber
627859,4,Peter N. Ives
627859,5,Ronald S. Trujillo
627859,6,$UNDERVOTE
29430,1,Alan Webber
29430,2,Kate I. Noble
29430,3,$UNDERVOTE
29430,4,$UNDERVOTE
29430,5,$UNDERVOTE
29430,6,$UNDERVOTE
842221,1,Kate I. Noble
842221,2,Alan Webber
842221,3,$UNDERVOTE
842221,4,$UNDERVOTE
842221,5,$UNDERVOTE
842221,6,$UNDERVOTE
617147,1,Alan Webber
617147,2,Joseph M. Maestas
617147,3,Kate I. Noble
617147,4,Ronald S. Trujillo
617147,5,Peter N. Ives
617147,6,$UNDERVOTE
389796,1,Peter N. Ives
389796,2,Kate I. Noble
389796,3,$OVERVOTE
389796,4,$UNDERVOTE
389796,5,$UNDERVOTE
389796,6,$UNDERVOTE
621087,1,Alan Webber
