Round: 1,Election,Round: 2,Round: 3,Round: 4,Round: 5,pyrankvote_winner,filename
"[{'candidate_5': ' 3130'}, {'candidate_1': ' 2888'}, {'candidate_3': ' 2791'}, {'candidate_2': ' 2523'}, {'candidate_4': ' 2501'}]",election_09-22-2020_23-05-20_5cands_0.028000000000000004noise.csv,"[{'candidate_1': ' 3652'}, {'candidate_5': ' 3591'}, {'candidate_3': ' 3577'}, {'candidate_2': ' 3013'}, {'candidate_4': '0'}]","[{'candidate_1': ' 4765'}, {'candidate_5': ' 4539'}, {'candidate_3': ' 4529'}, {'candidate_2': '0'}, {'candidate_4': '0'}]","[{'candidate_1': ' 7059'}, {'candidate_5': ' 6774'}, {'candidate_3': '0'}, {'candidate_2': '0'}, {'candidate_4': '0'}]",,[<Candidate('candidate_1')>],election_09-22-2020_23-05-20_5cands_0.028000000000000004noise.csv
"[{'candidate_4': '818'}, {'candidate_5': '764'}, {'candidate_2': '736'}, {'candidate_3': '731'}, {'candidate_1': '669'}, {'candidate_6': '646'}]",election_09-22-2020_23-05-20_6cands_0.023333333333333334noise.csv,"[{'candidate_4': '954'}, {'candidate_5': '899'}, {'candidate_2': '842'}, {'candidate_1': '838'}, {'candidate_3': '831'}, {'candidate_6': '0'}]","[{'candidate_4': ' 1156'}, {'candidate_5': ' 1103'}, {'candidate_1': ' 1060'}, {'candidate_2': ' 1045'}, {'candidate_3': '0'}, {'candidate_6': '0'}]","[{'candidate_4': ' 1515'}, {'candidate_5': ' 1447'}, {'candidate_1': ' 1402'}, {'candidate_2': '0'}, {'candidate_3': '0'}, {'candidate_6': '0'}]","[{'candidate_4': ' 2238'}, {'candidate_5': ' 2126'}, {'candidate_1': '0'}, {'candidate_2': '0'}, {'candidate_3': '0'}, {'candidate_6': '0'}]",[<Candidate('candidate_4')>],election_09-22-2020_23-05-20_6cands_0.023333333333333334noise.csv
"[{'candidate_2': '11189'}, {'candidate_1': ' 6235'}, {'candidate_3': ' 4257'}]",election_09-22-2020_23-05-21_3cands_0.013333333333333334noise.csv,,,,,[<Candidate('candidate_2')>],election_09-22-2020_23-05-21_3cands_0.013333333333333334noise.csv
"[{'candidate_3': ' 1297'}, {'candidate_2': '824'}, {'candidate_1': '710'}]",election_09-22-2020_23-05-21_3cands_0.03noise.csv,"[{'candidate_3': ' 1532'}, {'candidate_2': ' 1299'}, {'candidate_1': '0'}]",,,,[<Candidate('candidate_3')>],election_09-22-2020_23-05-21_3cands_0.03noise.csv
"[{'candidate_1': ' 8871'}, {'candidate_2': ' 7471'}, {'candidate_3': ' 6972'}, {'candidate_4': ' 6556'}, {'candidate_5': ' 5900'}]",election_09-22-2020_23-05-21_5cands_0.028000000000000004noise.csv,"[{'candidate_1': '10345'}, {'candidate_2': ' 8870'}, {'candidate_3': ' 8594'}, {'candidate_4': ' 7961'}, {'candidate_5': '0'}]","[{'candidate_1': '12901'}, {'candidate_3': '11591'}, {'candidate_2': '11278'}, {'candidate_4': '0'}, {'candidate_5': '0'}]","[{'candidate_1': '18591'}, {'candidate_3': '17179'}, {'candidate_2': '0'}, {'candidate_4': '0'}, {'candidate_5': '0'}]",,[<Candidate('candidate_1')>],election_09-22-2020_23-05-21_5cands_0.028000000000000004noise.csv
"[{'candidate_1': ' 3052'}, {'candidate_2': ' 2768'}, {'candidate_3': ' 1881'}]",election_09-22-2020_23-05-22_3cands_0.013333333333333334noise.csv,"[{'candidate_1': ' 3859'}, {'candidate_2': ' 3842'}, {'candidate_3': '0'}]",,,,[<Candidate('candidate_1')>],election_09-22-2020_23-05-22_3cands_0.013333333333333334noise.csv
"[{'candidate_1': ' 1916'}, {'candidate_2': '887'}, {'candidate_3': '456'}]",election_09-22-2020_23-05-22_3cands_0.02noise.csv,,,,,[<Candidate('candidate_1')>],election_09-22-2020_23-05-22_3cands_0.02noise.csv
"[{'candidate_1': '20143'}, {'candidate_2': '13246'}, {'candidate_3': '11775'}]",election_09-22-2020_23-05-22_3cands_0.04666666666666667noise.csv,"[{'candidate_1': '26643'}, {'candidate_2': '18521'}, {'candidate_3': '0'}]",,,,[<Candidate('candidate_1')>],election_09-22-2020_23-05-22_3cands_0.04666666666666667noise.csv
"[{'candidate_2': '21881'}, {'candidate_1': '10574'}, {'candidate_3': ' 8370'}]",election_09-22-2020_23-05-22_3cands_0.0noise.csv,,,,,[<Candidate('candidate_2')>],election_09-22-2020_23-05-22_3cands_0.0noise.csv
"[{'candidate_1': ' 7871'}, {'candidate_4': ' 6976'}, {'candidate_2': ' 6633'}, {'candidate_3': ' 2948'}]",election_09-22-2020_23-05-22_4cands_0.0125noise.csv,"[{'candidate_1': ' 8700'}, {'candidate_4': ' 7920'}, {'candidate_2': ' 7808'}, {'candidate_3': '0'}]","[{'candidate_1': '13389'}, {'candidate_4': '11039'}, {'candidate_2': '0'}, {'candidate_3': '0'}]",,,[<Candidate('candidate_1')>],election_09-22-2020_23-05-22_4cands_0.0125noise.csv
"[{'candidate_2': ' 4607'}, {'candidate_4': ' 4269'}, {'candidate_3': ' 3538'}, {'candidate_1': ' 3192'}]",election_09-22-2020_23-05-22_4cands_0.01noise.csv,"[{'candidate_4': ' 5771'}, {'candidate_2': ' 5469'}, {'candidate_3': ' 4366'}, {'candidate_1': '0'}]","[{'candidate_4': ' 7996'}, {'candidate_2': ' 7610'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",,,[<Candidate('candidate_4')>],election_09-22-2020_23-05-22_4cands_0.01noise.csv
"[{'candidate_3': ' 1219'}, {'candidate_4': ' 1105'}, {'candidate_2': ' 1077'}, {'candidate_5': ' 1065'}, {'candidate_1': ' 1033'}]",election_09-22-2020_23-05-22_5cands_0.006noise.csv,"[{'candidate_5': ' 1494'}, {'candidate_3': ' 1460'}, {'candidate_2': ' 1306'}, {'candidate_4': ' 1239'}, {'candidate_1': '0'}]","[{'candidate_5': ' 1977'}, {'candidate_3': ' 1850'}, {'candidate_2': ' 1672'}, {'candidate_4': '0'}, {'candidate_1': '0'}]","[{'candidate_5': ' 2794'}, {'candidate_3': ' 2705'}, {'candidate_2': '0'}, {'candidate_4': '0'}, {'candidate_1': '0'}]",,[<Candidate('candidate_5')>],election_09-22-2020_23-05-22_5cands_0.006noise.csv
